id,time,pop,popPred,indivPredMean,indivPredMode
19,79.0734,0.606252,0.606252,0.423048,
19,79.5884,0.62802,0.62802,0.447157,
19,79.6569,0.630879,0.630879,0.450385,
19,80.2182,0.653942,0.653942,0.476968,
19,80.2404,0.654842,0.654842,0.478025,
19,80.3003,0.657261,0.657261,0.480873,
19,80.8239,0.678044,0.678044,0.5058,
19,80.8529,0.679175,0.679175,0.507181,
19,80.9309,0.682209,0.682209,0.510895,
19,81.4074,0.700399,0.700399,0.533539,
19,81.4926,0.703591,0.703591,0.537579,
19,81.9909,0.721839,0.721839,0.561072,
19,82.1375,0.727075,0.727075,0.567937,
19,82.5743,0.742309,0.742309,0.588234,
19,82.7874,0.749533,0.749533,0.598028,
19,83.1578,0.76177,0.76177,0.61487,
19,83.4424,0.770888,0.770888,0.627626,
19,83.7413,0.780196,0.780196,0.640834,
19,84.1027,0.791083,0.791083,0.65652,
19,84.1487,0.792441,0.792441,0.658495,
19,84.3248,0.797576,0.797576,0.665999,
19,84.7681,0.810081,0.810081,0.684515,
19,84.9083,0.81391,0.81391,0.690252,
19,85.4389,0.827862,0.827862,0.711438,
19,85.4918,0.829207,0.829207,0.713503,
19,86.0753,0.843489,0.843489,0.735676,
19,86.1149,0.844423,0.844423,0.737142,
19,86.6588,0.856783,0.856783,0.756718,
19,86.7963,0.859777,0.859777,0.761509,
19,87.145,0.867131,0.867131,0.773363,
19,87.2422,0.869123,0.869123,0.776594,
19,87.4831,0.873947,0.873947,0.784453,
19,87.8257,0.880548,0.880548,0.795285,
19,88.1753,0.886972,0.886972,0.805914,
19,88.4092,0.891101,0.891101,0.81279,
19,88.873,0.898896,0.898896,0.825864,
19,88.9927,0.900826,0.900826,0.829119,
19,89.5762,0.909771,0.909771,0.844297,
20,63.5038,0.0867274,0.0867274,0.260126,
20,63.7588,0.0904094,0.0904094,0.269051,
20,63.7856,0.0908041,0.0908041,0.269999,
20,64.0148,0.0942474,0.0942474,0.278203,
20,64.0673,0.0950525,0.0950525,0.280104,
20,64.2718,0.0982469,0.0982469,0.287582,
20,64.349,0.099478,0.099478,0.290437,
20,64.5298,0.102414,0.102414,0.297186,
20,64.6307,0.104086,0.104086,0.300992,
20,64.6777,0.104872,0.104872,0.302772,
20,64.7889,0.106755,0.106755,0.307012,
20,64.9125,0.108881,0.108881,0.311762,
20,65.049,0.111275,0.111275,0.317057,
20,65.1942,0.11387,0.11387,0.322739,
20,65.3102,0.11598,0.11598,0.327317,
20,65.4759,0.119056,0.119056,0.333915,
20,65.5724,0.120878,0.120878,0.337787,
20,65.7577,0.124445,0.124445,0.345281,
20,65.8357,0.125974,0.125974,0.348461,
20,66.0394,0.130042,0.130042,0.356827,
20,66.1,0.131274,0.131274,0.359333,
20,66.3211,0.135852,0.135852,0.368542,
20,66.3654,0.136785,0.136785,0.370396,
20,66.6028,0.14188,0.14188,0.380413,
20,66.6318,0.142512,0.142512,0.381642,
20,66.8846,0.148128,0.148128,0.392429,
20,66.8993,0.148462,0.148462,0.393063,
20,67.1663,0.154603,0.154603,0.404577,
20,67.1679,0.154641,0.154641,0.404648,
20,67.2096,0.155619,0.155619,0.406456,
20,67.4376,0.161054,0.161054,0.416387,
20,67.448,0.161307,0.161307,0.416843,
20,67.7083,0.167708,0.167708,0.42827,
20,67.7297,0.168243,0.168243,0.429213,
20,67.9802,0.174607,0.174607,0.440284,
20,68.0115,0.175416,0.175416,0.441672,
20,68.2531,0.181758,0.181758,0.452418,
20,68.2932,0.182827,0.182827,0.454205,
20,68.4227,0.186315,0.186315,0.459987,
20,68.5271,0.189164,0.189164,0.464657,
20,68.5749,0.190479,0.190479,0.466796,
20,68.8023,0.19683,0.19683,0.476988,
20,68.8566,0.198373,0.198373,0.47943,
20,69.0785,0.204761,0.204761,0.489397,
20,69.1384,0.206511,0.206511,0.492089,
20,69.3558,0.21296,0.21296,0.501869,
20,69.4201,0.214894,0.214894,0.50476,
20,69.6343,0.22143,0.22143,0.514389,
20,69.7018,0.223521,0.223521,0.517423,
20,69.9138,0.230174,0.230174,0.52694,
20,69.9835,0.232391,0.232391,0.530065,
20,70.1945,0.239194,0.239194,0.539508,
20,70.2653,0.241505,0.241505,0.542668,
20,70.4764,0.248491,0.248491,0.552076,
20,70.547,0.250859,0.250859,0.555217,
20,70.7593,0.258065,0.258065,0.564628,
20,70.8287,0.26045,0.26045,0.567696,
20,71.0434,0.267917,0.267917,0.577148,
20,71.1105,0.270276,0.270276,0.580089,
20,71.3286,0.278044,0.278044,0.589619,
20,71.3922,0.280333,0.280333,0.592382,
20,71.615,0.288446,0.288446,0.602025,
20,71.6739,0.290614,0.290614,0.604561,
20,71.9025,0.299119,0.299119,0.61435,
20,71.9556,0.301115,0.301115,0.616611,
20,72.1912,0.310059,0.310059,0.626579,
20,72.2374,0.311829,0.311829,0.62852,
20,72.481,0.321261,0.321261,0.638696,
20,72.5191,0.322747,0.322747,0.640275,
20,72.772,0.332719,0.332719,0.650687,
20,72.8008,0.333863,0.333863,0.651863,
20,73.0642,0.344425,0.344425,0.662538,
20,73.0825,0.345166,0.345166,0.663275,
20,73.3575,0.356371,0.356371,0.674234,
20,73.3643,0.356647,0.356647,0.674499,
